,id,long,lat,hex_long,hex_lat
56,-110.0057 37.61284,-110.0057,37.61284,-110.00655000000012,37.6120235294117
57,-110.005 37.61892,-110.005,37.61892,-110.00415882352954,37.61770764705875
58,-110.005 37.62657,-110.005,37.62657,-110.00415882352954,37.62528647058815
59,-110.0046 37.57034,-110.0046,37.57034,-110.00655000000012,37.57034
60,-110.0033 37.59806,-110.0033,37.59806,-110.00176764705895,37.5968658823529
61,-110.0033 37.61707,-110.0033,37.61707,-110.00415882352954,37.61391823529405
62,-110.0029 37.62156,-110.0029,37.62156,-110.00415882352954,37.62149705882345
63,-110.0022 37.57324,-110.0022,37.57324,-110.00415882352954,37.57223470588235
64,-110.0022 37.5846,-110.0022,37.5846,-110.00415882352954,37.58360294117645
65,-110.0022 37.60915,-110.0022,37.60915,-110.00176764705895,37.608234117647
66,-110.0019 37.57879,-110.0019,37.57879,-110.00176764705895,37.5779188235294
67,-110.0016 37.59146,-110.0016,37.59146,-109.99937647058837,37.59118176470585
68,-110.0016 37.61654,-110.0016,37.61654,-110.00176764705895,37.6158129411764
69,-110.0012 37.61733,-110.0012,37.61733,-109.99937647058837,37.61391823529405
70,-110.0005 37.61892,-110.0005,37.61892,-109.99937647058837,37.61770764705875
71,-109.9998 37.58565,-109.9998,37.58565,-110.00176764705895,37.5854976470588
72,-109.9988 37.62393,-109.9988,37.62393,-109.99698529411779,37.6233917647058
73,-109.9978 37.58988,-109.9978,37.58988,-109.99698529411779,37.5892870588235
74,-109.9974 37.6044,-109.9974,37.6044,-109.99937647058837,37.60254999999995
75,-109.9971 37.61997,-109.9971,37.61997,-109.99698529411779,37.6196023529411
76,-109.995 37.59727,-109.995,37.59727,-109.99698529411779,37.5968658823529
77,-109.994 37.62499,-109.994,37.62499,-109.99220294117663,37.6233917647058
78,-109.9933 37.6102,-109.9933,37.6102,-109.99459411764721,37.61012882352935
79,-109.993 37.5941,-109.993,37.5941,-109.99220294117663,37.5930764705882
80,-109.993 37.61865,-109.993,37.61865,-109.99459411764721,37.61770764705875
81,-109.9926 37.62684,-109.9926,37.62684,-109.99459411764721,37.62528647058815
82,-109.9916 37.63212,-109.9916,37.63212,-109.99220294117663,37.6309705882352
83,-109.9913 37.62578,-109.9913,37.62578,-109.98981176470605,37.62528647058815
84,-109.9909 37.59278,-109.9909,37.59278,-109.98981176470605,37.59118176470585
85,-109.9882 37.62736,-109.9882,37.62736,-109.98742058823547,37.6271811764705
86,-109.9878 37.62235,-109.9878,37.62235,-109.98981176470605,37.62149705882345
87,-109.9858 37.62156,-109.9858,37.62156,-109.98502941176488,37.62149705882345
88,-109.9837 37.62763,-109.9837,37.62763,-109.9826382352943,37.6271811764705
89,-109.983 37.62974,-109.983,37.62974,-109.98502941176488,37.62907588235285
